id,title,author,text,label
1,NASA discovers new exoplanet similar to Earth,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
2,Aliens spotted in downtown New York,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
3,Celebrity claims to be time traveler from 3020,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
4,Government announces new healthcare reform,Michael Brown,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
5,Local schools adopt AI-based learning programs,Sarah Davis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
6,Local schools adopt AI-based learning programs,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
7,Scientists confirm Earth is flat again,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
8,Government announces new healthcare reform,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
9,New species of bird discovered in the Amazon rainforest,Sarah Davis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
10,Scientists confirm Earth is flat again,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
11,NASA discovers new exoplanet similar to Earth,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
12,Aliens spotted in downtown New York,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
13,Aliens spotted in downtown New York,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
14,Cure for cancer found using secret ancient herb,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
15,NASA discovers new exoplanet similar to Earth,Emily Johnson,Experts say the stock market growth is due to innovation in the technology sector.,0
16,Government hiding evidence of UFO crash,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
17,Aliens spotted in downtown New York,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
18,Scientists confirm Earth is flat again,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
19,Celebrity claims to be time traveler from 3020,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
20,Government announces new healthcare reform,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
21,New species of bird discovered in the Amazon rainforest,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
22,Local schools adopt AI-based learning programs,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
23,Stock markets hit record highs amid tech boom,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
24,Local schools adopt AI-based learning programs,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
25,Government hiding evidence of UFO crash,Laura Clark,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
26,Cure for cancer found using secret ancient herb,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
27,Celebrity claims to be time traveler from 3020,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
28,Celebrity claims to be time traveler from 3020,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
29,Government hiding evidence of UFO crash,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
30,NASA discovers new exoplanet similar to Earth,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
31,Aliens spotted in downtown New York,Michael Brown,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
32,NASA discovers new exoplanet similar to Earth,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
33,New species of bird discovered in the Amazon rainforest,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
